round	arm	ok	chars	secs	startsTopic
1	plugin	OK	1659	45	true
1	pure	OK	1491	24	false
2	plugin	TIMEOUT	0	240	false
2	pure	OK	2189	43	false
3	plugin	OK	2402	61	true
3	pure	TIMEOUT	0	240	false
4	plugin	OK	2654	55	true
4	pure	OK	2332	34	false
5	plugin	TIMEOUT	0	240	false
5	pure	OK	2369	63	false
6	plugin	OK	2502	52	true
6	pure	TIMEOUT	0	240	false
7	plugin	OK	2645	30	true
7	pure	OK	2413	66	false
8	plugin	TIMEOUT	0	240	false
8	pure	OK	2484	29	false
9	plugin	OK	2680	49	true
9	pure	TIMEOUT	0	240	false
10	plugin	OK	2910	31	true
10	pure	TIMEOUT	0	240	false
